Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1923.0,9.0,2.0,2.0,46.0,40.0,4.0,1.0,7.7,0.0,JAPAN,RYUKYU ISLANDS,34.9,140.2,0.3,6.0,-1.7,-1.5,,,,,,,,
1987.0,2.0,8.0,18.0,33.0,58.3,4.0,1.0,7.4,0.0,PAPUA NEW GUINEA,SOLOMON SEA,-6.088,147.689,1.5,1.0,1.0,,3.0,,,,2.625,2.0,,
2012.0,3.0,20.0,18.0,2.0,47.4,4.0,1.0,7.4,0.0,MEXICO,S. MEXICO,16.493,-98.231,0.2,2.0,,,2.0,,,13.0,600.0,4.0,800.0,
1922.0,7.0,8.0,,,,1.0,1.0,,0.0,INDONESIA,"LHOKNGA, ACEH",5.5,95.2,,1.0,,0.0,,,,,,,,
1995.0,6.0,15.0,0.0,15.0,48.7,4.0,3.0,6.5,1.0,GREECE,GULF OF CORINTH: AIYION,38.401,22.283,1.0,2.0,-1.0,3.0,26.0,,,60.0,660.0,4.0,,
2020.0,10.0,19.0,20.0,54.0,39.0,4.0,1.0,7.6,0.0,USA,"SHUMAGIN ISLANDS, AK",54.608,-159.655,0.76,15.0,,,,,,,,,,
1972.0,7.0,30.0,21.0,45.0,14.1,4.0,3.0,7.6,0.0,USA,"SE. ALASKA, AK",56.82,-135.685,0.1,3.0,-2.3,-2.0,,,,,,1.0,,
2017.0,10.0,31.0,0.0,43.0,12.0,4.0,1.0,6.7,0.0,NEW CALEDONIA,LOYALTY ISLANDS,-21.697,169.149,0.15,4.0,,,,,,,,,,
2010.0,2.0,27.0,6.0,34.0,11.5,4.0,1.0,8.8,4.0,CHILE,CENTRAL CHILE,-36.122,-72.898,29.0,653.0,,,558.0,,,12000.0,30000.0,4.0,,500000.0
2006.0,3.0,14.0,6.0,57.0,33.8,4.0,1.0,6.7,0.0,INDONESIA,SERAM ISLAND,-3.595,127.214,3.5,1.0,,,4.0,,,,1.0,2.0,241.0,
1904.0,6.0,25.0,14.0,45.0,36.0,4.0,1.0,8.3,0.0,RUSSIA,"KAMCHATKA PENINSULA, RUSSIA",52.0,159.0,,1.0,1.0,2.0,,,,,,,,
1871.0,8.0,,,,,1.0,0.0,,0.0,NEW ZEALAND,"HOKITIKA RIVER, SOUTH ISLAND",-42.72,170.96,,0.0,,,,,,,,,,
1949.0,10.0,19.0,21.0,0.0,19.0,4.0,1.0,7.5,0.0,PAPUA NEW GUINEA,SOLOMON SEA,-5.5,154.0,0.3,5.0,-1.7,-1.0,,,,,,,,
1847.0,10.0,31.0,,,,3.0,1.0,,0.0,INDIA,LITTLE NICOBAR ISLAND,7.333,93.667,,1.0,,,,,,,,1.0,,
1994.0,11.0,14.0,19.0,15.0,30.6,4.0,1.0,7.1,3.0,PHILIPPINES,PHILIPPINE ISLANDS,13.525,121.067,7.3,56.0,2.9,2.1,81.0,,,225.0,3.7,2.0,797.0,3288.0
1910.0,12.0,30.0,,,,1.0,1.0,6.2,0.0,PHILIPPINES,SULU SEA,9.0,125.5,,1.0,,1.0,,,,,,1.0,,
1913.0,10.0,2.0,4.0,23.0,28.0,2.0,3.0,6.7,0.0,PANAMA,OFF COAST,7.1,-80.6,,2.0,,,,,,,,1.0,,
1924.0,8.0,8.0,,,,1.0,0.0,,0.0,USA,"CONEY ISLAND, NY",40.567,-73.983,4.6,1.0,,,,,,,,,,
1868.0,10.0,2.0,7.0,30.0,,2.0,0.0,,0.0,USA,HAWAII,,,6.1,1.0,3.2,,,,,,,,,
1976.0,1.0,14.0,16.0,47.0,33.5,4.0,1.0,8.0,0.0,NEW ZEALAND,KERMADEC ISLANDS,-28.427,-177.657,0.9,15.0,-0.1,,,,,,,,,
1982.0,12.0,25.0,12.0,28.0,2.8,-1.0,3.0,6.0,0.0,INDONESIA,FLORES SEA,-8.405,123.08,,0.0,,,13.0,,,390.0,1.45,2.0,1875.0,
1940.0,8.0,1.0,15.0,8.0,24.0,4.0,1.0,7.5,1.0,JAPAN,W. HOKKAIDO ISLAND,44.2,139.5,5.0,62.0,1.8,1.5,10.0,,,,,2.0,20.0,
1953.0,12.0,12.0,17.0,31.0,25.0,4.0,1.0,7.4,0.0,PERU,N. PERU,-3.4,-80.6,1.0,2.0,-1.0,0.5,6.0,,,20.0,,2.0,200.0,
1865.0,7.0,16.0,3.0,0.0,0.0,1.0,1.0,,0.0,USA,"UNALASKA ISLAND, AK",54.0,-167.0,,1.0,,,,,,,,,,
1808.0,4.0,2.0,16.0,43.0,,2.0,1.0,5.7,0.0,ITALY,ITALIAN COAST,44.833,7.25,0.15,1.0,,2.0,2.0,,,,,1.0,,
1969.0,12.0,25.0,21.0,32.0,27.3,4.0,1.0,7.2,0.0,GUADELOUPE (FRENCH TERRITORY),GRAND BOURG,15.8,-59.7,0.46,3.0,-3.3,,,,,,,,,
1952.0,7.0,13.0,11.0,58.0,33.0,2.0,1.0,6.8,0.0,VANUATU,OFF EAST COAST OF VANUATU,-18.5,169.25,,2.0,,,,,,,,,,
1978.0,3.0,22.0,0.0,50.0,32.2,4.0,1.0,6.7,0.0,RUSSIA,S. KURIL ISLANDS,44.026,149.002,0.07,2.0,0.1,-2.5,,,,,,,,
2000.0,7.0,1.0,7.0,1.0,55.5,4.0,1.0,6.1,1.0,JAPAN,"KOZU-SHIMA ISLAND, HONSHU",34.221,139.131,0.07,4.0,,,1.0,,,,,1.0,,
2007.0,9.0,2.0,1.0,5.0,18.1,4.0,1.0,7.2,0.0,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-11.61,165.762,0.05,2.0,,,,,,,,,,
1990.0,3.0,25.0,13.0,22.0,55.6,4.0,1.0,7.0,0.0,COSTA RICA,COSTA RICA,9.919,-84.808,1.0,4.0,,,,,,15.0,,2.0,8.0,34.0
1884.0,8.0,10.0,19.0,7.0,,2.0,1.0,5.5,0.0,USA,"ROCKAWAY BEACH, NEW YORK",40.6,-73.75,1.8,9.0,,,,,,,,,,
1868.0,4.0,23.0,,,,1.0,0.0,,0.0,UK,SW ENGLAND,,,,0.0,,,,,,,,,,
1830.0,9.0,16.0,,,,0.0,1.0,,0.0,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,,1.0,,1.0,,,,,,,,
